Spec Type,CPU Load (%),datasize,imgHeight,imgWidth,T_p,,,,
0,0,2974053,1600,1550,4.014993081,,,0,XOSmall
0,0,1282401,938,1250,1.59343421,,,1,XOMedium
0,0,1151338,720,960,1.094844019,,,2,XOLarge
0,0,2071394,1210,1600,2.353957984,,,3,XOXLarge
0,0,558718,400,620,0.678251946,,,,
0,0,2884168,1530,1530,2.734455667,,,,
0,0,1993508,1143,1600,2.3098225,,,,
0,0,374013,333,500,0.594359953,,,,
0,0,221663,375,500,0.611949375,,,,
0,0,1352544,938,1250,1.653242644,,,,
0,0,1915446,1600,1068,2.11823954,,,,
0,0,1202040,639,960,1.044849773,,,,
0,0,1926564,1200,1600,2.333894939,,,,
0,0,826374,720,960,1.126618547,,,,
0,0,896736,686,960,1.071068256,,,,
0,0,2092639,1200,1600,2.278344517,,,,
0,0,1162591,938,1250,1.586807691,,,,
0,0,796277,726,960,1.118579064,,,,
0,0,1653536,1250,1228,1.953841792,,,,
0,0,2331418,1600,1200,2.400786299,,,,
0,0,633322,480,640,0.723503149,,,,
0,0,1554899,1595,1600,2.908395429,,,,
0,0,821168,480,640,0.720132131,,,,
0,0,2503272,1020,1600,2.051885953,,,,
0,0,2582799,1600,1280,2.459887758,,,,
0,0,1885600,1180,1600,2.339197084,,,,
0,0,349774,375,500,0.598979554,,,,
0,0,804148,642,960,1.029946886,,,,
0,0,2296687,1095,1600,2.174831333,,,,
0,0,1413641,1250,938,1.572075679,,,,
0,0,1847500,1200,1600,2.361001819,,,,
0,0,2402644,1200,1600,2.362122505,,,,
0,0,2144622,1600,1068,2.126392303,,,,
0,0,415601,420,640,0.678120759,,,,
0,0,383725,383,640,0.650281635,,,,
0,0,955547,960,960,1.334982844,,,,
0,0,1046140,576,768,0.881371803,,,,
0,0,1046484,576,768,0.865009788,,,,
0,0,1226595,960,719,1.117857611,,,,
0,0,497496,536,559,0.710883051,,,,
0,0,370409,279,640,0.589586669,,,,
0,0,3214460,1600,1200,2.282745581,,,,
0,0,2249694,1530,1530,2.754760845,,,,
0,0,1688157,1073,1600,2.140393373,,,,
0,0,906843,960,765,1.138497789,,,,
0,0,766240,480,640,0.721452557,,,,
0,0,2485823,800,1200,1.329571463,,,,
0,0,2470642,877,1240,1.509843519,,,,
0,0,1017275,548,822,0.849645604,,,,
0,0,721296,366,770,0.70107325,,,,
0,0,840644,845,960,1.199366079,,,,
