Transmission_BW (bps),Transmission_BW (kbps),ImgHeight,ImgWidth,Datasize,Tx_true,Datasize (bits),Tx_calc,Link_Utilization
128000,128,576,768,1046140,69.01177887,8369120,65.38375,0.947428846
128000,128,576,768,1046484,68.92894585,8371872,65.40525,0.948879302
128000,128,576,768,1052068,69.37691702,8416544,65.75425,0.947782819
128000,128,800,1200,2485823,163.1160086,19886584,155.3639375,0.952475105
128000,128,619,1100,1629932,107.1735791,13039456,101.87075,0.950521116
128000,128,400,620,558718,37.09587549,4469744,34.919875,0.941341174
128000,128,533,800,861161,56.91664288,6889288,53.8225625,0.945638389
128000,128,898,1600,1517519,99.93719731,12140152,94.8449375,0.949045401
128000,128,1600,1200,2331418,153.1616121,18651344,145.713625,0.951371711
128000,128,1500,1295,1710539,112.5147128,13684312,106.9086875,0.95017518
128000,128,1530,1530,2884168,189.3068014,23073344,180.2605,0.952213543
128000,128,1530,1530,2249694,147.7437851,17997552,140.605875,0.95168724
128000,128,1073,1600,1688157,111.0297679,13505256,105.5098125,0.950284005
128000,128,1600,1600,1245145,81.99649517,9961160,77.8215625,0.949084011
128000,128,1298,1600,2782693,182.6287913,22261544,173.9183125,0.952305008
128000,128,1595,1600,1554899,102.298577,12439192,97.1811875,0.949975946
128000,128,1200,1600,2033663,133.6475396,16269304,127.1039375,0.951038365
128000,128,1200,1600,2165827,142.4545781,17326616,135.3641875,0.950227008
128000,128,903,1600,1593233,104.7928221,12745864,99.5770625,0.950227893
128000,128,1200,1600,1956028,129.2929998,15648224,122.25175,0.945540363
128000,128,1068,1600,1828266,120.2017401,14626128,114.266625,0.950623717
128000,128,1065,1600,2746640,179.6069728,21973120,171.665,0.955781378
128000,128,1600,1200,3214460,210.9292588,25715680,200.90375,0.952469805
128000,128,1200,1600,1847500,121.437507,14780000,115.46875,0.950849147
128000,128,1095,1600,2296687,150.7958903,18373496,143.5429375,0.951902185
128000,128,1600,1550,2974053,195.3718154,23792424,185.8783125,0.951408022
128000,128,1600,1070,2053451,134.9904832,16427608,128.3406875,0.950738781
128000,128,1143,1600,1993508,131.0721518,15948064,124.59425,0.950577589
128000,128,1200,1600,1926564,126.6132146,15412512,120.41025,0.951008553
128000,128,1200,1600,2821410,185.3289748,22571280,176.338125,0.95148708
128000,128,1050,1600,2215286,146.0257425,17722288,138.455375,0.948157309
128000,128,1180,1600,1885600,124.0164309,15084800,117.85,0.950277307
128000,128,1600,1280,2582799,171.1373707,20662392,161.4249375,0.943247736
128000,128,1600,1068,2111250,138.7567654,16890000,131.953125,0.950967145
